"species","plant","site","treatment"
"ten",1,"A","low"
"ten",2,"C","low"
"ten",3,"A","high"
"ten",4,"A","low"
"ten",5,"A","low"
"ten",6,"C","high"
"ten",7,"B","high"
"ten",8,"C","high"
"ten",9,"B","high"
"ten",10,"C","high"
"ten",11,"A","low"
"ten",12,"B","high"
"ten",13,"A","high"
"ten",14,"A","high"
"ten",15,"C","low"
"ten",16,"C","low"
"ten",17,"A","low"
"ten",18,"B","low"
"ten",19,"A","high"
"ten",20,"A","low"
"agg",1,"PV-I across road","high"
"agg",2,,"high"
"agg",3,,"high"
"agg",4,,"high"
"agg",5,,"low"
"agg",6,,"low"
"agg",7,,"low"
"agg",8,,"high"
"agg",9,,"low"
"agg",10,,"high"
"agg",11,,"low"
"agg",12,,"low"
"agg",13,,"high"
"agg",14,,"low"
"agg",15,,"low"
"agg",16,,"high"
"agg",17,,"high"
"agg",18,,"low"
"agg",19,,"high"
"agg",20,,"low"
