plantid,treatment,site,corolla_length,corolla_width,style_length,max_anther,min_anther,sepal_width
Ihyb101,ambient,Ihyb,31,2.75,21.425,30.05,28.299999999999997,1.175
Ihyb314,ambient,Ihyb,29.85,3.1,26.4,28.95,27.15,1.35
Ihyb502,ambient,Ihyb,33.5,2.4,24.6,29.6,27.1,1.7
Ihyb503,ambient,Ihyb,27.775,2.75,22.55,25.7,23.975,1.05
Ihyb506,ambient,Ihyb,30,2.2,25.7,26.7,26.033333333333335,1.2333333333333334
Ihyb509,ambient,Ihyb,30.1,2.6,24.86,27.75,26.05,1.22
Ihyb510,ambient,Ihyb,30.8,NA,21.3,27,25.6,1.4
Ihyb512,ambient,Ihyb,31.999999999999996,2.7,25.400000000000002,30.333333333333332,27.866666666666667,1.1666666666666667
Ihyb513,ambient,Ihyb,28,NA,21,25.4,24.1,0.9
Ihyb525,ambient,Ihyb,28.1,2.6,NA,24,NA,NA
Ihyb530,ambient,Ihyb,25.45,2.2,24.175,24.075,23.175,1.35
Ihyb531,ambient,Ihyb,29.3,2.05,26.533333333333335,26.4,24.400000000000002,1.2
Ihyb701,nitrogen,Ihyb,35.075,3.2666666666666666,24.325,31.2,29.575,1.625
Ihyb703,watercontrol,Ihyb,33.7,3,26.8,29.46666666666667,28.466666666666665,1.2333333333333334
Ihyb705,watercontrol,Ihyb,23.700000000000003,2.4,17.6,21.35,19.45,1.5499999999999998
Ihyb706,nitrogen,Ihyb,28.55,2.8499999999999996,24.075,25.4,23.625,1.375
Ihyb707,watercontrol,Ihyb,32.5,2.8499999999999996,26.933333333333334,29.7,27.833333333333332,1.3666666666666667
Ihyb709,watercontrol,Ihyb,35.3,3.45,26.15,31.3,29.55,1.5
Ihyb712,watercontrol,Ihyb,28.325,3.1,26,26.425,25.225,1.3
Ihyb713,watercontrol,Ihyb,29.925,3,22.525,29.7,26.35,1.105105633802817
Ihyb715,nitrogen,Ihyb,34.56666666666667,2.6500000000000004,25.366666666666667,32.33333333333333,30.099999999999998,1.3
Ihyb717,watercontrol,Ihyb,18.6,2.4,11.9,15.4,14,1.7
Ihyb718,nitrogen,Ihyb,30.025,2.8,27.525000000000002,27.900000000000002,26.45,1.225
Ihyb719,nitrogen,Ihyb,27.333333333333332,3.2,22.033333333333335,24.766666666666666,24.233333333333334,1.3333333333333333
Ihyb721,watercontrol,Ihyb,30.6,3.3,24.025,29,26.775,1.45
Ihyb726,nitrogen,Ihyb,32.666666666666664,3.1,23.233333333333334,30.666666666666668,28.5,1.2
Ihyb727,ambient,Ihyb,34.5,2.9,24,33.5,30.3,1.1
Ihyb729,nitrogen,Ihyb,24.666666666666668,2.8,21.966666666666665,23.166666666666668,22.166666666666668,1.4
Ihyb731,nitrogen,Ihyb,25.825,3.4,22.025,23.025,21.025,1.4
Ihyb732,watercontrol,Ihyb,24.55,2.8,19.575,23.75,22.275,1.25
Ihyb737,watercontrol,Ihyb,28.96,2.8,26.32,27.16,25.48,1.26
Ihyb797,nitrogen,Ihyb,27,2.55,23.72,23.28,22.72,1.3599999999999999
Ihyb798,ambient,Ihyb,31.450000000000003,2.5,23.7,28.6,27.7,1.65
Ihyb799,nitrogen,Ihyb,29.675,2.9000000000000004,25.049999999999997,25.775,24.275,1.175
Lagg2100,ambient,Lagg,30.8,3.7,29.6,31.6,30.1,1.25
Lagg280,ambient,Lagg,27.03333333333333,3.2,25.3,27.9,25.900000000000002,1.2333333333333334
Lagg281,ambient,Lagg,28.533333333333335,3.75,24.666666666666668,29.7,27.8,1.2333333333333334
Lagg283,ambient,Lagg,25.2,3.5,24.766666666666666,25.333333333333332,23.900000000000002,1.65
Lagg293,ambient,Lagg,27.8,3.1500000000000004,24.4,27.175,25.15,1.45
Lagg297,ambient,Lagg,26.133333333333333,2.95,24.266666666666666,26.666666666666668,24.3,1.2666666666666666
Lagg300,ambient,Lagg,21.35,2.7,19.549999999999997,20.799999999999997,18.5,1.35
Lagg316,ambient,Lagg,26.4,3.5,24.4,28.1,25.4,1.3
Lagg317,ambient,Lagg,26.299999999999997,3.55,24.45,27.15,24.4,1.45
Lagg320,ambient,Lagg,24.950000000000003,3.45,24.1,26.700000000000003,23.45,1.55
Lagg322,ambient,Lagg,25.1,3.5,23.6,24,23.1,1.2
Lagg323,ambient,Lagg,29.3,2.9,26.2,29.2,26.1,1.3
Lagg325,ambient,Lagg,26.966666666666665,3.3,27.833333333333332,29.2,27.833333333333332,1.5666666666666667
Lagg332,ambient,Lagg,30.5,4,30.9,30.9,28.2,1.9
Lagg334,ambient,Lagg,27.15,3.3,27.25,25.65,24.45,1.45
Lagg337,ambient,Lagg,28.3,4.1,28.4,28.6,25.9,1.6
Lagg341,ambient,Lagg,26.6,3.5,28.2,25.8,22.4,1.7
Lagg344,ambient,Lagg,30.35,3.4000000000000004,27.6,30.7,28.75,1.7999999999999998
Lagg415,ambient,Lagg,25.75,3.9,24.1,27.75,25.3,1.5
Lagg537,ambient,Lagg,26.3,NA,29,27.4,25,1.3
Lagg539,nitrogen,Lagg,24.666666666666668,3.4000000000000004,23.166666666666668,25.6,23.466666666666665,1.2333333333333334
Lagg540,nitrogen,Lagg,26.099999999999998,3.7,27.533333333333335,25.366666666666667,24.7,1.3
Lagg541,watercontrol,Lagg,26.35,3.5,26.4,26.75,24.75,1.5
Lagg543,nitrogen,Lagg,27.65,4.2,25.25,28.25,25.4,1.4
Lagg545,watercontrol,Lagg,27.4,3.4,21.7,26,23.9,1.4
Lagg546,ambient,Lagg,18.3,3.4,17.5,17.5,16.7,2
Lagg548,nitrogen,Lagg,23.25,3.6,25.45,25.95,22.950000000000003,1.65
Lagg550,watercontrol,Lagg,24.933333333333334,3.1500000000000004,24.833333333333336,25.633333333333333,24.366666666666667,1.4333333333333333
Lagg551,ambient,Lagg,27.049999999999997,3.7,28.4,28.15,24.7,1.7000000000000002
Lagg554,ambient,Lagg,28.85,4.2,27.25,30.049999999999997,26.700000000000003,1.5499999999999998
Lagg561,ambient,Lagg,18.65,3,18.75,19.2,17.299999999999997,1.55
Lagg562,watercontrol,Lagg,24.700000000000003,3.6,25.700000000000003,25.450000000000003,23.25,1.45
Lagg563,ambient,Lagg,23.6,4,22.6,25.4,22.3,1.8
Lagg566,nitrogen,Lagg,27.866666666666667,3.55,24.9,28.333333333333332,25.133333333333333,1.55
Lagg568,nitrogen,Lagg,29.3,3.7666666666666666,26.25,29.15,27.375,1.6
Lagg574,watercontrol,Lagg,29.4,3.45,29.3,30.450000000000003,27.5,1.4
Lagg584,watercontrol,Lagg,27,2.9,26.6,29.8,25.1,1.3
Lagg585,nitrogen,Lagg,30.566666666666666,3.5,25.7,31.033333333333335,28.866666666666667,1.45
Lagg588,ambient,Lagg,23.549999999999997,3,20.75,22.3,19.299999999999997,1.1
Lagg589,watercontrol,Lagg,26.1,3.6,23,26,25.35,1.4500000000000002
Lagg590,ambient,Lagg,27.900000000000002,2.95,22.966666666666665,25.9,25.133333333333333,1.4333333333333333
Lagg593,ambient,Lagg,29.5,NA,26.7,29.1,26.2,0.9
Lagg596,watercontrol,Lagg,30,3.3,25.966666666666665,29.033333333333335,27.733333333333334,1.4
Lagg598,ambient,Lagg,25.15,3.3499999999999996,24.8,27.05,25.65,1.6
Lagg599,ambient,Lagg,26.7,3.95,21.766666666666666,26.933333333333334,23.9,1.3666666666666667
Lagg601,watercontrol,Lagg,29.1,3.4,26.55,28.45,26.8,1.7
Lagg607,ambient,Lagg,25.866666666666667,3.7,26.5,26.133333333333333,24.666666666666668,1.5333333333333332
Lagg608,nitrogen,Lagg,26.633333333333333,3.65,24.8,27.866666666666667,25.233333333333334,1.4666666666666666
Lagg613,nitrogen,Lagg,28.55,3.9,23.625,27.225,25.425,1.575
Lagg614,ambient,Lagg,23.700000000000003,3.9,18.7,23.6,21.450000000000003,1.2
Lagg615,nitrogen,Lagg,28.466666666666665,4,28.433333333333334,28.066666666666666,25.9,1.6333333333333333
Lagg616,watercontrol,Lagg,27.25,3.4,24.3,28.65,26.55,1.25
Lagg737,ambient,Lagg,30.2,3.7,27.9,30.3,28.8,1.2
Lagg76,ambient,Lagg,28.3,4.1,24.1,27.6,26.15,1.2
Laggnear85,ambient,Lagg,27.3,NA,24.7,26.6,24.1,1.2
