"trait","experiment","species","nitrogen","watercontrol","ambient","log2_N_WC","log2_WC_AM"
"inflo_height_cm","greenhouse","AGG",48.66,40,NA,0.282736320276342,NA
"inflo_height_cm","greenhouse","TEN",36.1777777777778,36.7454545454545,NA,-0.0224620049185035,NA
"flower_num","greenhouse","AGG",248.9,145.5,NA,0.77454707718539,NA
"flower_num","greenhouse","TEN",167.4,189,NA,-0.175086706558091,NA
"nectar.production","greenhouse","AGG",4.02604166666667,4.52133954488779,NA,-0.1673881624584,NA
"nectar.production","greenhouse","TEN",0.46059270437876,0.819115113283233,NA,-0.830574653850032,NA
"concentration","greenhouse","AGG",22.95,24.1648108444028,NA,-0.0744135481445484,NA
"concentration","greenhouse","TEN",27.4772450936052,27.5934550511056,NA,-0.00608874693077633,NA
"nectar.production","field","Ihyb",1.56747836091125,1.77685016974685,1.43346211571357,-0.180876506663768,0.309818256594256
"nectar.production","field","Lagg",3.55833984270814,2.90573787259349,2.85981542343399,0.292299740251203,0.022982526514368
"concentration","field","Ihyb",25.2281505034254,25.4673728055824,24.3236205797172,-0.0136156949625806,0.0662921495430599
"concentration","field","Lagg",20.9374588030018,22.6666006061746,22.921245227487,-0.114481689214472,-0.016117381576082
"corolla_length","greenhouse","AGG",29.8566666666666,29.078209127593,NA,0.0381146863525299,NA
"corolla_length","greenhouse","TEN",35.8090662081811,34.1727543731747,NA,0.0674783622887734,NA
"corolla_width","greenhouse","AGG",4.50666666666667,4.21532024449807,NA,0.0964185066477064,NA
"corolla_width","greenhouse","TEN",3.58430138377789,3.57061996894156,NA,0.00551735859011143,NA
"style_length","greenhouse","AGG",27.5733333333334,28.3664310713053,NA,-0.0409109641078234,NA
"style_length","greenhouse","TEN",27.0137477099467,24.8240383674358,NA,0.121955971991408,NA
"max_anther","greenhouse","AGG",29.7233333333333,28.4531378761919,NA,0.0630081515083799,NA
"max_anther","greenhouse","TEN",31.1933258511441,29.0231251117919,NA,0.104034509641566,NA
"min_anther","greenhouse","AGG",26.2366666666667,25.8514915618323,NA,0.0213369165453892,NA
"min_anther","greenhouse","TEN",29.9516069405402,27.7225962274161,NA,0.111571034933986,NA
"sepal_width","greenhouse","AGG",1.05666666666667,1.17955598777443,NA,-0.15872355826198,NA
"sepal_width","greenhouse","TEN",0.941576114708937,0.923811177019244,NA,0.0274797222992296,NA
"corolla_length","field","Ihyb",29.5232302337317,28.9030488009248,29.9920564809263,0.0306288984608477,-0.0533587660355236
"corolla_length","field","Lagg",27.3600905615344,27.2297967247708,26.4291331685722,0.00688679308374336,0.043057104681701
"corolla_width","field","Ihyb",2.94451711304674,2.94476399026696,2.55221806835395,-0.00012095484500801,0.206400410998491
"corolla_width","field","Lagg",3.71935863597174,3.36289680391545,3.48007235319016,0.145349357245475,-0.049412793000612
"style_length","field","Ihyb",23.9484766801285,23.175489602052,24.0708599413492,0.0473340742823013,-0.0546878662652736
"style_length","field","Lagg",25.5073853924121,25.493883154001,24.8308806193981,0.000763887385821133,0.0380157100530427
"max_anther","field","Ihyb",26.7242603446159,26.633456402631,27.6751938989461,0.00491034966437478,-0.0553537559747109
"max_anther","field","Lagg",27.6981214503464,27.6055982596304,26.7472807637488,0.00482726563963083,0.0455686383082605
"min_anther","field","Ihyb",25.2347752977611,24.8991195220233,26.1991708001585,0.0193185133773573,-0.0734264245178634
"min_anther","field","Lagg",25.4824395590218,25.5911960008565,24.5718298982519,-0.00614417261395898,0.0586422718962572
"sepal_width","field","Ihyb",1.34324324324324,1.32251320422535,1.24411764705882,0.0224384544909178,0.0881592095728079
"sepal_width","field","Lagg",1.48928571428571,1.435,1.43134328358209,0.0535698195987333,0.00368101722796761
